id,latitude,longitude,name,ref,network,operator
2390257230,-34.5998749,-58.511112,Hospital Zubizarreta,,,
2390257231,-34.5973827,-58.5070509,Nueva York y Lamarca,,,
2392302882,-34.5553761,-58.4488234,Instituto Santa Ana,,,
2392302883,-34.5553326,-58.4487383,Instituto Santa Ana,,,
2392302888,-34.5578437,-58.4546847,O'Higgins y Olazábal,,,
2392302889,-34.557868,-58.4547245,O'Higgins y Olazábal,,,
2417265435,-34.6336328,-58.5195308,Vélez Sarsfield,,,
2417266236,-34.6331949,-58.5200065,Vélez Sarsfield,,,
2433252087,-34.5801233,-58.4198876,Plaza Italia,,,
2433252088,-34.5801948,-58.4199553,Plaza Italia,,,
2433252089,-34.5802789,-58.4200365,Plaza Italia,,,
2433252092,-34.5804204,-58.4201669,Plaza Italia,,,
2438990828,-34.6558571,-58.4385331,Varela,,,
2466174594,-34.5509951,-58.4407868,Escuela Colombo,,,
2470337241,-34.5629197,-58.4583258,Juramento y Amenábar,,,
2471708326,-34.7480723,-58.3942322,Alsina y Medrano,,,
2487511589,-34.5616544,-58.4488328,Pampa y 11 de septiembre,,,
2487511590,-34.5617069,-58.4487922,Pampa y 11 de septiembre,,,
2489469446,-34.5357004,-58.4682648,Estación Rivadavia,,,
2489469457,-34.535915,-58.4681593,Estación Rivadavia,,,
2489469648,-34.5631496,-58.4560751,Echeverría y Cabildo,,,
2489469715,-34.5590505,-58.4497589,Barrancas de Belgrano,,,
2489469717,-34.562149,-58.4543762,Plaza Belgrano,,,
2489469727,-34.5589702,-58.4499132,Barrancas de Belgrano,,,
2489469729,-34.5609223,-58.4523121,Echeverría y O'Higgins,,,
2489470142,-34.5593885,-58.4491673,Barrancas de Belgrano,,,
2489470279,-34.5595713,-58.4488538,Barrancas de Belgrano,,,
2490538491,-34.5588811,-58.4495595,Barrancas de Belgrano,,,
2490538493,-34.5595108,-58.4487886,Barrancas de Belgrano,,,
2490538494,-34.5584461,-58.4482572,Estación Belgrano C,,,
2490538496,-34.5631071,-58.4560952,Echeverría y Cabildo,,,
2490538497,-34.5621042,-58.4544085,Plaza Belgrano,,,
2490538498,-34.5608845,-58.4523385,Echeverría y O'Higgins,,,
2490538499,-34.5593147,-58.4491176,Barrancas de Belgrano,,,
2497637095,-34.7062847,-58.4789248,Barrio Sarmiento,,,
2498053349,-34.575832,-58.4136949,Libertador y La India,,,
2511119728,-34.5612722,-58.4555537,Barrio Chino,6,,
2522732467,-34.5680035,-58.4852524,Le Breton y Valdenegro,,,
2578919505,-34.576387,-58.4484282,Lacroze y Zapiola,,,
2579154511,-34.575726,-58.4483171,Lacroze y Zapiola,,,
2579154512,-34.5749178,-58.4474261,Conesa y Lacroze,,,
2579154513,-34.5779304,-58.4496084,Conde y Lacroze,,,
2586693879,-34.7079139,-58.5455604,El Tiburón y Catulo Castillo,,,
2596167106,-34.5979261,-58.5208422,Segurola y Mosconi,,,
2596167316,-34.6017974,-58.523438,Vallejos y Allende,,,
2596167365,-34.600257,-58.520921,Vallejos y Marcos Paz,,,
2596167386,-34.5987511,-58.5184604,Vallejos y Lincoln,,,
2596167419,-34.602879,-58.5248802,General Paz,,,
2597656176,-34.5579025,-58.4521627,Mendoza y 11 de Septiembre,,,
2597656177,-34.5579443,-58.4521295,Mendoza y 11 de Septiembre,,,
2597749320,-34.5395153,-58.4657299,Ramallo y 11 de Septiembre,,,
2597749392,-34.5415662,-58.4697742,Plaza Lima,,,
